GAT_0,GAT_1,GAT_2,GAT_3,GAT_4,GAT_5,GAT_6,GAT_7,GAT_8,GAT_9,GAT_10,GAT_11,GAT_12,GAT_13,GAT_14,GAT_15,GAT_16,GAT_17,GAT_18,GAT_19,GAT_20,GAT_21,GAT_22,GAT_23,GAT_24,GAT_25,GAT_26,GAT_27,GAT_28,GAT_29,GAT_30,GAT_31,GAT_32,GAT_33,GAT_34,GAT_35,GAT_36,GAT_37,GAT_38,GAT_39,GAT_40,GAT_41,GAT_42,GAT_43,GAT_44,GAT_45,GAT_46,GAT_47,GAT_48,GAT_49,GAT_50,GAT_51,GAT_52,GAT_53,GAT_54,GAT_55,GAT_56,GAT_57,GAT_58,GAT_59,GAT_60,GAT_61,GAT_62,GAT_63
-8.6327095,-1.4023461,-3.7620175,3.9211898,-6.135551,3.0388165,-1.2091556,-0.23632336,-2.9873123,14.495365,-4.1342163,2.9897566,5.1977615,4.2965565,4.327999,8.81543,-4.782325,2.0572362,-2.8230457,-7.534848,1.0507722,0.2916677,-4.3810577,1.4015701,1.6579013,2.2189379,1.6395622,2.6915689,-0.80938923,-4.3849726,0.29733014,6.768548,4.813186,-6.4887743,2.3258882,0.6725929,-2.204617,-13.799465,1.4966595,2.6716685,0.23627865,-10.997674,-3.3368452,0.69268143,-8.815608,-0.5077081,-11.096298,0.66408026,-2.3649678,0.12442231,-6.691431,-10.390755,-1.82808,7.6591544,2.4190264,2.7889328,-1.5401113,0.502344,3.327968,8.742848,-0.57510465,-5.894212,-8.7763405,-8.1771555
-8.6327095,-1.4023461,-3.7620175,3.9211898,-6.135551,3.0388165,-1.2091556,-0.23632336,-2.9873123,14.495365,-4.1342163,2.9897566,5.1977615,4.2965565,4.327999,8.81543,-4.782325,2.0572362,-2.8230457,-7.534848,1.0507722,0.2916677,-4.3810577,1.4015701,1.6579013,2.2189379,1.6395622,2.6915689,-0.80938923,-4.3849726,0.29733014,6.768548,4.813186,-6.4887743,2.3258882,0.6725929,-2.204617,-13.799465,1.4966595,2.6716685,0.23627865,-10.997674,-3.3368452,0.69268143,-8.815608,-0.5077081,-11.096298,0.66408026,-2.3649678,0.12442231,-6.691431,-10.390755,-1.82808,7.6591544,2.4190264,2.7889328,-1.5401113,0.502344,3.327968,8.742848,-0.57510465,-5.894212,-8.7763405,-8.1771555
-8.6327095,-1.4023461,-3.7620175,3.9211898,-6.135551,3.0388165,-1.2091556,-0.23632336,-2.9873123,14.495365,-4.1342163,2.9897566,5.1977615,4.2965565,4.327999,8.81543,-4.782325,2.0572362,-2.8230457,-7.534848,1.0507722,0.2916677,-4.3810577,1.4015701,1.6579013,2.2189379,1.6395622,2.6915689,-0.80938923,-4.3849726,0.29733014,6.768548,4.813186,-6.4887743,2.3258882,0.6725929,-2.204617,-13.799465,1.4966595,2.6716685,0.23627865,-10.997674,-3.3368452,0.69268143,-8.815608,-0.5077081,-11.096298,0.66408026,-2.3649678,0.12442231,-6.691431,-10.390755,-1.82808,7.6591544,2.4190264,2.7889328,-1.5401113,0.502344,3.327968,8.742848,-0.57510465,-5.894212,-8.7763405,-8.1771555
-8.6327095,-1.4023461,-3.7620175,3.9211898,-6.135551,3.0388165,-1.2091556,-0.23632336,-2.9873123,14.495365,-4.1342163,2.9897566,5.1977615,4.2965565,4.327999,8.81543,-4.782325,2.0572362,-2.8230457,-7.534848,1.0507722,0.2916677,-4.3810577,1.4015701,1.6579013,2.2189379,1.6395622,2.6915689,-0.80938923,-4.3849726,0.29733014,6.768548,4.813186,-6.4887743,2.3258882,0.6725929,-2.204617,-13.799465,1.4966595,2.6716685,0.23627865,-10.997674,-3.3368452,0.69268143,-8.815608,-0.5077081,-11.096298,0.66408026,-2.3649678,0.12442231,-6.691431,-10.390755,-1.82808,7.6591544,2.4190264,2.7889328,-1.5401113,0.502344,3.327968,8.742848,-0.57510465,-5.894212,-8.7763405,-8.1771555
-8.6327095,-1.4023461,-3.7620175,3.9211898,-6.135551,3.0388165,-1.2091556,-0.23632336,-2.9873123,14.495365,-4.1342163,2.9897566,5.1977615,4.2965565,4.327999,8.81543,-4.782325,2.0572362,-2.8230457,-7.534848,1.0507722,0.2916677,-4.3810577,1.4015701,1.6579013,2.2189379,1.6395622,2.6915689,-0.80938923,-4.3849726,0.29733014,6.768548,4.813186,-6.4887743,2.3258882,0.6725929,-2.204617,-13.799465,1.4966595,2.6716685,0.23627865,-10.997674,-3.3368452,0.69268143,-8.815608,-0.5077081,-11.096298,0.66408026,-2.3649678,0.12442231,-6.691431,-10.390755,-1.82808,7.6591544,2.4190264,2.7889328,-1.5401113,0.502344,3.327968,8.742848,-0.57510465,-5.894212,-8.7763405,-8.1771555
-8.6327095,-1.4023461,-3.7620175,3.9211898,-6.135551,3.0388165,-1.2091556,-0.23632336,-2.9873123,14.495365,-4.1342163,2.9897566,5.1977615,4.2965565,4.327999,8.81543,-4.782325,2.0572362,-2.8230457,-7.534848,1.0507722,0.2916677,-4.3810577,1.4015701,1.6579013,2.2189379,1.6395622,2.6915689,-0.80938923,-4.3849726,0.29733014,6.768548,4.813186,-6.4887743,2.3258882,0.6725929,-2.204617,-13.799465,1.4966595,2.6716685,0.23627865,-10.997674,-3.3368452,0.69268143,-8.815608,-0.5077081,-11.096298,0.66408026,-2.3649678,0.12442231,-6.691431,-10.390755,-1.82808,7.6591544,2.4190264,2.7889328,-1.5401113,0.502344,3.327968,8.742848,-0.57510465,-5.894212,-8.7763405,-8.1771555
-8.6327095,-1.4023461,-3.7620175,3.9211898,-6.135551,3.0388165,-1.2091556,-0.23632336,-2.9873123,14.495365,-4.1342163,2.9897566,5.1977615,4.2965565,4.327999,8.81543,-4.782325,2.0572362,-2.8230457,-7.534848,1.0507722,0.2916677,-4.3810577,1.4015701,1.6579013,2.2189379,1.6395622,2.6915689,-0.80938923,-4.3849726,0.29733014,6.768548,4.813186,-6.4887743,2.3258882,0.6725929,-2.204617,-13.799465,1.4966595,2.6716685,0.23627865,-10.997674,-3.3368452,0.69268143,-8.815608,-0.5077081,-11.096298,0.66408026,-2.3649678,0.12442231,-6.691431,-10.390755,-1.82808,7.6591544,2.4190264,2.7889328,-1.5401113,0.502344,3.327968,8.742848,-0.57510465,-5.894212,-8.7763405,-8.1771555
-8.6327095,-1.4023461,-3.7620175,3.9211898,-6.135551,3.0388165,-1.2091556,-0.23632336,-2.9873123,14.495365,-4.1342163,2.9897566,5.1977615,4.2965565,4.327999,8.81543,-4.782325,2.0572362,-2.8230457,-7.534848,1.0507722,0.2916677,-4.3810577,1.4015701,1.6579013,2.2189379,1.6395622,2.6915689,-0.80938923,-4.3849726,0.29733014,6.768548,4.813186,-6.4887743,2.3258882,0.6725929,-2.204617,-13.799465,1.4966595,2.6716685,0.23627865,-10.997674,-3.3368452,0.69268143,-8.815608,-0.5077081,-11.096298,0.66408026,-2.3649678,0.12442231,-6.691431,-10.390755,-1.82808,7.6591544,2.4190264,2.7889328,-1.5401113,0.502344,3.327968,8.742848,-0.57510465,-5.894212,-8.7763405,-8.1771555
-8.6327095,-1.4023461,-3.7620175,3.9211898,-6.135551,3.0388165,-1.2091556,-0.23632336,-2.9873123,14.495365,-4.1342163,2.9897566,5.1977615,4.2965565,4.327999,8.81543,-4.782325,2.0572362,-2.8230457,-7.534848,1.0507722,0.2916677,-4.3810577,1.4015701,1.6579013,2.2189379,1.6395622,2.6915689,-0.80938923,-4.3849726,0.29733014,6.768548,4.813186,-6.4887743,2.3258882,0.6725929,-2.204617,-13.799465,1.4966595,2.6716685,0.23627865,-10.997674,-3.3368452,0.69268143,-8.815608,-0.5077081,-11.096298,0.66408026,-2.3649678,0.12442231,-6.691431,-10.390755,-1.82808,7.6591544,2.4190264,2.7889328,-1.5401113,0.502344,3.327968,8.742848,-0.57510465,-5.894212,-8.7763405,-8.1771555
-8.6327095,-1.4023461,-3.7620175,3.9211898,-6.135551,3.0388165,-1.2091556,-0.23632336,-2.9873123,14.495365,-4.1342163,2.9897566,5.1977615,4.2965565,4.327999,8.81543,-4.782325,2.0572362,-2.8230457,-7.534848,1.0507722,0.2916677,-4.3810577,1.4015701,1.6579013,2.2189379,1.6395622,2.6915689,-0.80938923,-4.3849726,0.29733014,6.768548,4.813186,-6.4887743,2.3258882,0.6725929,-2.204617,-13.799465,1.4966595,2.6716685,0.23627865,-10.997674,-3.3368452,0.69268143,-8.815608,-0.5077081,-11.096298,0.66408026,-2.3649678,0.12442231,-6.691431,-10.390755,-1.82808,7.6591544,2.4190264,2.7889328,-1.5401113,0.502344,3.327968,8.742848,-0.57510465,-5.894212,-8.7763405,-8.1771555
