MinEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BertzCT,Chi0,Chi0v,Chi1,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,Kappa1,Kappa3,LabuteASA,PEOE_VSA11,PEOE_VSA14,PEOE_VSA3,PEOE_VSA4,SMR_VSA1,SMR_VSA7,SlogP_VSA10,SlogP_VSA2,SlogP_VSA8,EState_VSA1,EState_VSA10,EState_VSA4,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4
0.0,0.26822690277363076,35.453,35.453,34.96940125991,8,1.0,1.0,1.0,1.0,35.453,35.453,0.0,0.0,1.1338934190276817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2900000000000005,10.083103448275864,13.521571012453132,0.0,0.0,0.0,0.0,12.407033161179976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.26822690277363076,35.453,35.453,34.96940125991,8,1.0,1.0,1.0,1.0,35.453,35.453,0.0,0.0,1.1338934190276817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2900000000000005,10.083103448275864,13.521571012453132,0.0,0.0,0.0,0.0,12.407033161179976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.26822690277363076,35.453,35.453,34.96940125991,8,1.0,1.0,1.0,1.0,35.453,35.453,0.0,0.0,1.1338934190276817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2900000000000005,10.083103448275864,13.521571012453132,0.0,0.0,0.0,0.0,12.407033161179976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.26822690277363076,35.453,35.453,34.96940125991,8,1.0,1.0,1.0,1.0,35.453,35.453,0.0,0.0,1.1338934190276817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2900000000000005,10.083103448275864,13.521571012453132,0.0,0.0,0.0,0.0,12.407033161179976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.26822690277363076,35.453,35.453,34.96940125991,8,1.0,1.0,1.0,1.0,35.453,35.453,0.0,0.0,1.1338934190276817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2900000000000005,10.083103448275864,13.521571012453132,0.0,0.0,0.0,0.0,12.407033161179976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.26822690277363076,35.453,35.453,34.96940125991,8,1.0,1.0,1.0,1.0,35.453,35.453,0.0,0.0,1.1338934190276817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2900000000000005,10.083103448275864,13.521571012453132,0.0,0.0,0.0,0.0,12.407033161179976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.26822690277363076,35.453,35.453,34.96940125991,8,1.0,1.0,1.0,1.0,35.453,35.453,0.0,0.0,1.1338934190276817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2900000000000005,10.083103448275864,13.521571012453132,0.0,0.0,0.0,0.0,12.407033161179976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.26822690277363076,35.453,35.453,34.96940125991,8,1.0,1.0,1.0,1.0,35.453,35.453,0.0,0.0,1.1338934190276817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2900000000000005,10.083103448275864,13.521571012453132,0.0,0.0,0.0,0.0,12.407033161179976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.26822690277363076,35.453,35.453,34.96940125991,8,1.0,1.0,1.0,1.0,35.453,35.453,0.0,0.0,1.1338934190276817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2900000000000005,10.083103448275864,13.521571012453132,0.0,0.0,0.0,0.0,12.407033161179976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.26822690277363076,35.453,35.453,34.96940125991,8,1.0,1.0,1.0,1.0,35.453,35.453,0.0,0.0,1.1338934190276817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2900000000000005,10.083103448275864,13.521571012453132,0.0,0.0,0.0,0.0,12.407033161179976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.26822690277363076,35.453,35.453,34.96940125991,8,1.0,1.0,1.0,1.0,35.453,35.453,0.0,0.0,1.1338934190276817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2900000000000005,10.083103448275864,13.521571012453132,0.0,0.0,0.0,0.0,12.407033161179976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.26822690277363076,35.453,35.453,34.96940125991,8,1.0,1.0,1.0,1.0,35.453,35.453,0.0,0.0,1.1338934190276817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2900000000000005,10.083103448275864,13.521571012453132,0.0,0.0,0.0,0.0,12.407033161179976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.26822690277363076,35.453,35.453,34.96940125991,8,1.0,1.0,1.0,1.0,35.453,35.453,0.0,0.0,1.1338934190276817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2900000000000005,10.083103448275864,13.521571012453132,0.0,0.0,0.0,0.0,12.407033161179976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-5.194444444444445,0.4163040459190086,113.01400000000001,113.01400000000001,112.98558747991001,42,0.43029221674881835,1.4285714285714286,1.5714285714285714,1.5714285714285714,19.413477519751076,10.689089316256881,83.42592196522058,6.077350269189626,2.950389999955408,2.9433756729740645,1.225194999977704,0.7852165476078995,0.7852165476078995,0.23145502494313788,0.23145502494313788,0.0,0.0,6.260000000000001,2.020456273764258,36.55655520324464,0.0,6.176298517443475,0.0,13.171245143024459,23.07230972193699,0.0,13.171245143024459,12.145603805395323,0.0,12.145603805395323,13.171245143024459,0.0,31.548611111111114,8.784722222222221,8.784722222222221,0.0
-5.194444444444445,0.4163040459190086,113.01400000000001,113.01400000000001,112.98558747991001,42,0.43029221674881835,1.4285714285714286,1.5714285714285714,1.5714285714285714,19.413477519751076,10.689089316256881,83.42592196522058,6.077350269189626,2.950389999955408,2.9433756729740645,1.225194999977704,0.7852165476078995,0.7852165476078995,0.23145502494313788,0.23145502494313788,0.0,0.0,6.260000000000001,2.020456273764258,36.55655520324464,0.0,6.176298517443475,0.0,13.171245143024459,23.07230972193699,0.0,13.171245143024459,12.145603805395323,0.0,12.145603805395323,13.171245143024459,0.0,31.548611111111114,8.784722222222221,8.784722222222221,0.0
-5.194444444444445,0.4163040459190086,113.01400000000001,113.01400000000001,112.98558747991001,42,0.43029221674881835,1.4285714285714286,1.5714285714285714,1.5714285714285714,19.413477519751076,10.689089316256881,83.42592196522058,6.077350269189626,2.950389999955408,2.9433756729740645,1.225194999977704,0.7852165476078995,0.7852165476078995,0.23145502494313788,0.23145502494313788,0.0,0.0,6.260000000000001,2.020456273764258,36.55655520324464,0.0,6.176298517443475,0.0,13.171245143024459,23.07230972193699,0.0,13.171245143024459,12.145603805395323,0.0,12.145603805395323,13.171245143024459,0.0,31.548611111111114,8.784722222222221,8.784722222222221,0.0
-5.194444444444445,0.4163040459190086,113.01400000000001,113.01400000000001,112.98558747991001,42,0.43029221674881835,1.4285714285714286,1.5714285714285714,1.5714285714285714,19.413477519751076,10.689089316256881,83.42592196522058,6.077350269189626,2.950389999955408,2.9433756729740645,1.225194999977704,0.7852165476078995,0.7852165476078995,0.23145502494313788,0.23145502494313788,0.0,0.0,6.260000000000001,2.020456273764258,36.55655520324464,0.0,6.176298517443475,0.0,13.171245143024459,23.07230972193699,0.0,13.171245143024459,12.145603805395323,0.0,12.145603805395323,13.171245143024459,0.0,31.548611111111114,8.784722222222221,8.784722222222221,0.0
0.0,0.2907254081066362,79.904,79.904,78.91888567991,8,1.0,1.0,1.0,1.0,79.904,79.904,0.0,0.0,1.9639610121239313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,4.8133333333333335,17.881179872351204,0.0,0.0,0.0,0.0,16.981450852126283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2907254081066362,79.904,79.904,78.91888567991,8,1.0,1.0,1.0,1.0,79.904,79.904,0.0,0.0,1.9639610121239313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,4.8133333333333335,17.881179872351204,0.0,0.0,0.0,0.0,16.981450852126283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2907254081066362,79.904,79.904,78.91888567991,8,1.0,1.0,1.0,1.0,79.904,79.904,0.0,0.0,1.9639610121239313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,4.8133333333333335,17.881179872351204,0.0,0.0,0.0,0.0,16.981450852126283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
