graph_0,graph_1,graph_2,graph_3,graph_4,graph_5,graph_6,graph_7,graph_8,graph_9,graph_10,graph_11,graph_12,graph_13,graph_14,graph_15,graph_16,graph_17,graph_18,graph_19,graph_20,graph_21,graph_22,graph_23,graph_24,graph_25,graph_26,graph_27,graph_28,graph_29,graph_30,graph_31,graph_32,graph_33,graph_34,graph_35,graph_36,graph_37,graph_38,graph_39,graph_40,graph_41,graph_42,graph_43,graph_44,graph_45,graph_46,graph_47,graph_48,graph_49,graph_50,graph_51,graph_52,graph_53,graph_54,graph_55,graph_56,graph_57,graph_58,graph_59,graph_60,graph_61,graph_62,graph_63
-0.32503557,-0.41854662,-0.9465705,0.2565757,0.70495945,-0.04665802,-0.4361378,-0.14934199,-0.7427043,-0.37099305,0.4062247,-0.43531847,0.19293515,-0.20467745,0.90228456,-0.8268324,0.056300543,-0.40556264,-0.22819695,-1.0871307,0.032269478,0.61642694,-0.2865518,1.2002372,0.3443542,0.62901264,-0.20340016,-0.8492234,0.29006702,1.0179805,0.70799845,0.19370075,-0.030084033,0.51641625,0.9243711,-1.9691919,-0.38873664,-0.03629191,0.54713845,-0.3015453,0.050498974,0.35468096,0.17766163,-1.5694699,0.08407374,-0.62685823,0.29274556,-0.25518027,-0.5500676,0.10743217,-0.118365146,-1.3529911,-1.2331073,-0.13212532,0.64812565,-0.8177848,-0.18219656,-1.039969,0.16153789,0.13489303,-0.14274937,0.26938474,-0.6438348,0.36557764
-0.32503557,-0.41854662,-0.9465705,0.2565757,0.70495945,-0.04665802,-0.4361378,-0.14934199,-0.7427043,-0.37099305,0.4062247,-0.43531847,0.19293515,-0.20467745,0.90228456,-0.8268324,0.056300543,-0.40556264,-0.22819695,-1.0871307,0.032269478,0.61642694,-0.2865518,1.2002372,0.3443542,0.62901264,-0.20340016,-0.8492234,0.29006702,1.0179805,0.70799845,0.19370075,-0.030084033,0.51641625,0.9243711,-1.9691919,-0.38873664,-0.03629191,0.54713845,-0.3015453,0.050498974,0.35468096,0.17766163,-1.5694699,0.08407374,-0.62685823,0.29274556,-0.25518027,-0.5500676,0.10743217,-0.118365146,-1.3529911,-1.2331073,-0.13212532,0.64812565,-0.8177848,-0.18219656,-1.039969,0.16153789,0.13489303,-0.14274937,0.26938474,-0.6438348,0.36557764
-0.32503557,-0.41854662,-0.9465705,0.2565757,0.70495945,-0.04665802,-0.4361378,-0.14934199,-0.7427043,-0.37099305,0.4062247,-0.43531847,0.19293515,-0.20467745,0.90228456,-0.8268324,0.056300543,-0.40556264,-0.22819695,-1.0871307,0.032269478,0.61642694,-0.2865518,1.2002372,0.3443542,0.62901264,-0.20340016,-0.8492234,0.29006702,1.0179805,0.70799845,0.19370075,-0.030084033,0.51641625,0.9243711,-1.9691919,-0.38873664,-0.03629191,0.54713845,-0.3015453,0.050498974,0.35468096,0.17766163,-1.5694699,0.08407374,-0.62685823,0.29274556,-0.25518027,-0.5500676,0.10743217,-0.118365146,-1.3529911,-1.2331073,-0.13212532,0.64812565,-0.8177848,-0.18219656,-1.039969,0.16153789,0.13489303,-0.14274937,0.26938474,-0.6438348,0.36557764
-0.32503557,-0.41854662,-0.9465705,0.2565757,0.70495945,-0.04665802,-0.4361378,-0.14934199,-0.7427043,-0.37099305,0.4062247,-0.43531847,0.19293515,-0.20467745,0.90228456,-0.8268324,0.056300543,-0.40556264,-0.22819695,-1.0871307,0.032269478,0.61642694,-0.2865518,1.2002372,0.3443542,0.62901264,-0.20340016,-0.8492234,0.29006702,1.0179805,0.70799845,0.19370075,-0.030084033,0.51641625,0.9243711,-1.9691919,-0.38873664,-0.03629191,0.54713845,-0.3015453,0.050498974,0.35468096,0.17766163,-1.5694699,0.08407374,-0.62685823,0.29274556,-0.25518027,-0.5500676,0.10743217,-0.118365146,-1.3529911,-1.2331073,-0.13212532,0.64812565,-0.8177848,-0.18219656,-1.039969,0.16153789,0.13489303,-0.14274937,0.26938474,-0.6438348,0.36557764
-0.32514676,-0.41827002,-0.9465259,0.2566253,0.7050894,-0.046524346,-0.43636796,-0.14931113,-0.7425519,-0.37091026,0.40636188,-0.4354869,0.19295365,-0.20496641,0.90213263,-0.8267571,0.056052268,-0.40567467,-0.22826342,-1.0874419,0.031958546,0.61655676,-0.28652167,1.2001126,0.34418863,0.62879723,-0.20355439,-0.84943706,0.29059497,1.0180997,0.7080956,0.1929182,-0.030160237,0.516623,0.924595,-1.969487,-0.38862014,-0.036646903,0.54766005,-0.30149138,0.05048907,0.35444155,0.17800537,-1.569347,0.084082015,-0.62646276,0.2928261,-0.25498146,-0.5498859,0.10726086,-0.118470356,-1.3529918,-1.2334558,-0.1321569,0.648214,-0.817527,-0.18223085,-1.0400802,0.16177653,0.13462591,-0.14256454,0.26973253,-0.6436144,0.36539665
-0.32514676,-0.41827002,-0.9465259,0.2566253,0.7050894,-0.046524346,-0.43636796,-0.14931113,-0.7425519,-0.37091026,0.40636188,-0.4354869,0.19295365,-0.20496641,0.90213263,-0.8267571,0.056052268,-0.40567467,-0.22826342,-1.0874419,0.031958546,0.61655676,-0.28652167,1.2001126,0.34418863,0.62879723,-0.20355439,-0.84943706,0.29059497,1.0180997,0.7080956,0.1929182,-0.030160237,0.516623,0.924595,-1.969487,-0.38862014,-0.036646903,0.54766005,-0.30149138,0.05048907,0.35444155,0.17800537,-1.569347,0.084082015,-0.62646276,0.2928261,-0.25498146,-0.5498859,0.10726086,-0.118470356,-1.3529918,-1.2334558,-0.1321569,0.648214,-0.817527,-0.18223085,-1.0400802,0.16177653,0.13462591,-0.14256454,0.26973253,-0.6436144,0.36539665
-0.32514676,-0.41827002,-0.9465259,0.2566253,0.7050894,-0.046524346,-0.43636796,-0.14931113,-0.7425519,-0.37091026,0.40636188,-0.4354869,0.19295365,-0.20496641,0.90213263,-0.8267571,0.056052268,-0.40567467,-0.22826342,-1.0874419,0.031958546,0.61655676,-0.28652167,1.2001126,0.34418863,0.62879723,-0.20355439,-0.84943706,0.29059497,1.0180997,0.7080956,0.1929182,-0.030160237,0.516623,0.924595,-1.969487,-0.38862014,-0.036646903,0.54766005,-0.30149138,0.05048907,0.35444155,0.17800537,-1.569347,0.084082015,-0.62646276,0.2928261,-0.25498146,-0.5498859,0.10726086,-0.118470356,-1.3529918,-1.2334558,-0.1321569,0.648214,-0.817527,-0.18223085,-1.0400802,0.16177653,0.13462591,-0.14256454,0.26973253,-0.6436144,0.36539665
-0.32514676,-0.41827002,-0.9465259,0.2566253,0.7050894,-0.046524346,-0.43636796,-0.14931113,-0.7425519,-0.37091026,0.40636188,-0.4354869,0.19295365,-0.20496641,0.90213263,-0.8267571,0.056052268,-0.40567467,-0.22826342,-1.0874419,0.031958546,0.61655676,-0.28652167,1.2001126,0.34418863,0.62879723,-0.20355439,-0.84943706,0.29059497,1.0180997,0.7080956,0.1929182,-0.030160237,0.516623,0.924595,-1.969487,-0.38862014,-0.036646903,0.54766005,-0.30149138,0.05048907,0.35444155,0.17800537,-1.569347,0.084082015,-0.62646276,0.2928261,-0.25498146,-0.5498859,0.10726086,-0.118470356,-1.3529918,-1.2334558,-0.1321569,0.648214,-0.817527,-0.18223085,-1.0400802,0.16177653,0.13462591,-0.14256454,0.26973253,-0.6436144,0.36539665
-0.33656713,-0.3934333,-0.9224922,0.24365918,0.71452236,-0.03846165,-0.46049866,-0.11033079,-0.74995804,-0.27234334,0.40334994,-0.43525895,0.24348442,-0.21925068,0.8465639,-0.76603085,0.051444825,-0.36999014,-0.18316431,-1.0113008,0.09163585,0.60313123,-0.27827626,1.174011,0.3783288,0.5321084,-0.22123946,-0.8013926,0.2591237,0.99477965,0.66809475,0.18213718,-0.096893996,0.45156342,0.8656508,-1.8333975,-0.3822921,0.008459623,0.5390466,-0.29936814,0.0452545,0.33344558,0.14857563,-1.4389172,0.03637683,-0.5759872,0.35855806,-0.277348,-0.40307117,0.12332823,-0.06629436,-1.2990456,-1.0777285,-0.10693117,0.6283716,-0.66127086,-0.12597288,-1.0350059,0.15506256,0.072365664,-0.0074691367,0.23729512,-0.5402597,0.32447818
-0.33656713,-0.3934333,-0.9224922,0.24365918,0.71452236,-0.03846165,-0.46049866,-0.11033079,-0.74995804,-0.27234334,0.40334994,-0.43525895,0.24348442,-0.21925068,0.8465639,-0.76603085,0.051444825,-0.36999014,-0.18316431,-1.0113008,0.09163585,0.60313123,-0.27827626,1.174011,0.3783288,0.5321084,-0.22123946,-0.8013926,0.2591237,0.99477965,0.66809475,0.18213718,-0.096893996,0.45156342,0.8656508,-1.8333975,-0.3822921,0.008459623,0.5390466,-0.29936814,0.0452545,0.33344558,0.14857563,-1.4389172,0.03637683,-0.5759872,0.35855806,-0.277348,-0.40307117,0.12332823,-0.06629436,-1.2990456,-1.0777285,-0.10693117,0.6283716,-0.66127086,-0.12597288,-1.0350059,0.15506256,0.072365664,-0.0074691367,0.23729512,-0.5402597,0.32447818
