Cation,Anion,target
CCCCCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.081
CCCCCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.29
CCCCCC[n+]1ccccc1,[Br-],0.568
CCCCCC[n+]1ccccc1,[Br-],3.262
CCCCCC[n+]1ccccc1,[Br-],0.69
CCCCCC[n+]1ccccc1,[Br-],0.228
CCCCCC[n+]1ccccc1,[Br-],>0.060
CCCCCC[n+]1ccccc1,[Br-],>0.060
CCCCCCCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.028
CCCCCCCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.056
CCCCCCCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.048
CCCCCCCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.23
CCCCCCCC[n+]1ccccc1,[Br-],0.28
CCCCCCCC[n+]1ccccc1,[Br-],0.0159
CCCCCCCC[n+]1ccccc1,[Br-],0.054
CCCCCCCC[n+]1ccccc1,[Br-],0.211
CCCCCCCC[n+]1ccccc1,[Br-],0.0007
CCCCCCCC[n+]1ccccc1,[Br-],0.009
CCCCCCCC[n+]1ccccc1,[Br-],0.14
CCCCCCCC[n+]1ccccc1,[Br-],0.04
CCCCC[n+]1ccccc1,[Br-],>0.060
CCCCC[n+]1ccccc1,[Br-],>0.060
CCCCCCCCCCCCCC[n+]1ccccc1,[Br-],0.02
CCCCCCCCCCCCCC[n+]1ccccc1,[Br-],0.025
CCCCCCCC[n+]1ccccc1C,[Br-],0.008
CCCCCCCCOC(=O)C[n+]1cccc(C2CCCN2C)c1,[Br-],>0.1
CCCCCCCCCCCCCCCCOc1ccc[n+](CCO)c1,[Br-],0.01335
CCCCCCCCCCCCCCCCOc1ccc[n+](CCO)c1,[Cl-],0.013
CCCCCC[n+]1cccc(C(N)=O)c1,O=C([O-])c1ccccc1O,12.83
CCCCCC[n+]1cccc(C(N)=O)c1,O=C([O-])c1ccccc1O,12.19
CCCCCOC[n+]1cccc(O)c1,O=C1[N-]S(=O)(=O)c2ccccc21,3.2
CCCCCOC[n+]1cccc(O)c1,CC1=CC(=O)[N-]S(=O)(=O)O1,3.8
CCCCCCCCCCCOC[n+]1cccc(O)c1,O=C1[N-]S(=O)(=O)c2ccccc21,0.03
CCCCCCCCCCCOC[n+]1cccc(O)c1,CC1=CC(=O)[N-]S(=O)(=O)O1,0.03
CCCCCCCCCCCOC[n+]1cccc(O)c1,[Cl-],0.04
CCCOC[n+]1cccc(O)c1,O=C1[N-]S(=O)(=O)c2ccccc21,4.2
CCCOC[n+]1cccc(O)c1,CC1=CC(=O)[N-]S(=O)(=O)O1,3.1
CCCOC[n+]1cccc(O)c1,[Cl-],0.74
CCCCCCCC[n+]1cccc(C)c1,[Br-],0.01
CC[n+]1ccc(N(C)C)cc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.7
CC[n+]1ccc(N(C)C)cc1,[Br-],0.79
CCCCCCC[n+]1ccc(N(C)C)cc1,[Br-],0.00365
CCCCCCC[n+]1ccc(N(C)C)cc1,[Br-],>0.060
CCCCCC[n+]1ccc(N(C)C)cc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.009
CCCCCC[n+]1ccc(N(C)C)cc1,[Br-],0.00608
CCCCCC[n+]1ccc(N(C)C)cc1,[Br-],>0.060
CCCCCC[n+]1ccc(N(C)C)cc1,[Cl-],0.009
CCCCC[n+]1ccc(N(C)C)cc1,[Br-],0.02438
CCCCC[n+]1ccc(N(C)C)cc1,[Br-],>0.060
CCCCCCCC[n+]1ccc(C)cc1,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.039
CCCCCCCC[n+]1ccc(C)cc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.033
CCCCCCCC[n+]1ccc(C)cc1,[Br-],0.024
CCCCCCCC[n+]1ccc(C)cc1,[Cl-],0.043
CCCCCCCC[n+]1ccc(C)cc1,F[B-](F)(F)F,0.031
COC(=O)[C@H](C)[NH3+],CC(O)C(=O)[O-],25
CC[N+](C)(CC)CC*OCCC*O,[Cl-],1.07
CCCCCCCCCCOc1ccc(/N=N/c2c(F)c(F)c(OCCCCCC[n+]3ccn(CCCCCCCCCC)c3)c(F)c2F)cc1,[Br-],0.00284
CCCCCCCCCCOc1ccc(/N=N/c2c(F)c(F)c(OCCCCCC[n+]3ccn(CCCCCCCCCC)c3)c(F)c2F)cc1,[Br-],0.00845
CCCCCCCCCCCCCCCCn1cc[n+](CCCCCCCCCCOc2c(F)c(F)c(/N=N/c3ccc(OCCCCCCCCCC)cc3)c(F)c2F)c1,[Br-],0.0014
CCCCCCCCCCCCCCCCn1cc[n+](CCCCCCCCCCOc2c(F)c(F)c(/N=N/c3ccc(OCCCCCCCCCC)cc3)c(F)c2F)c1,[Br-],0.00789
CCCCCCCCCCCCCCCCn1cc[n+](CCCCCCCCCCCOc2c(F)c(F)c(/N=N/c3ccc(OCCCCCCCCCC)cc3)c(F)c2F)c1,[Br-],0.00167
CCCCCCCCCCCCCCCCn1cc[n+](CCCCCCCCCCCOc2c(F)c(F)c(/N=N/c3ccc(OCCCCCCCCCC)cc3)c(F)c2F)c1,[Br-],0.00344
CCCCCCCCCCCCCCCCn1cc[n+](CCCCCCCCCCCCOc2c(F)c(F)c(/N=N/c3ccc(OCCCCCCCCCC)cc3)c(F)c2F)c1,[Br-],0.00174
CCCCCCCCCCCCCCCCn1cc[n+](CCCCCCCCCCCCOc2c(F)c(F)c(/N=N/c3ccc(OCCCCCCCCCC)cc3)c(F)c2F)c1,[Br-],0.00615
CCCCCCCCCCCCCCCCn1cc[n+](CCCOc2c(F)c(F)c(/N=N/c3ccc(OCCCCCCCCCC)cc3)c(F)c2F)c1,[Br-],0.01242
CCCCCCCCCCCCCCCCn1cc[n+](CCCOc2c(F)c(F)c(/N=N/c3ccc(OCCCCCCCCCC)cc3)c(F)c2F)c1,[Br-],0.02042
CCCCCCCCCCCCCCCCn1cc[n+](CCCCOc2c(F)c(F)c(/N=N/c3ccc(OCCCCCCCCCC)cc3)c(F)c2F)c1,[Br-],0.0052
CCCCCCCCCCCCCCCCn1cc[n+](CCCCOc2c(F)c(F)c(/N=N/c3ccc(OCCCCCCCCCC)cc3)c(F)c2F)c1,[Br-],0.01666
Cn1cc[n+](Cc2ccc(O)c(/C=N/N3C(=O)CNC3=S)c2)c1,[Cl-],0.03258
Cn1cc[n+](Cc2ccc(O)c(/C=N/N3C(=O)CNC3=S)c2)c1,[Cl-],0.14977
Cn1cc[n+](Cc2ccc(O)c(/C=N/N3C(=O)CNC3=S)c2)c1,F[B-](F)(F)F,0.02381
Cn1cc[n+](Cc2ccc(O)c(/C=N/N3C(=O)CNC3=S)c2)c1,F[B-](F)(F)F,0.10187
COc1cc(C[n+]2cc[nH]c2C)cc(/C=N/c2nccs2)c1O,[Cl-],0.037
CCCCCCCCCCCCCCCCn1cc[n+](CCCCCOc2c(F)c(F)c(/N=N/c3ccc(OCCCCCCCCCC)cc3)c(F)c2F)c1,[Br-],0.00364
CCCCCCCCCCCCCCCCn1cc[n+](CCCCCOc2c(F)c(F)c(/N=N/c3ccc(OCCCCCCCCCC)cc3)c(F)c2F)c1,[Br-],0.01199
CCCCCCCCCCCCn1cc[n+](CCCCCCOc2c(F)c(F)c(/N=N/c3ccc(OCCCCCCCCCC)cc3)c(F)c2F)c1,[Br-],0.00142
CCCCCCCCCCCCn1cc[n+](CCCCCCOc2c(F)c(F)c(/N=N/c3ccc(OCCCCCCCCCC)cc3)c(F)c2F)c1,[Br-],0.004
CCCCCCCCCCCCCCCCn1cc[n+](CCCCCCOc2c(F)c(F)c(/N=N/c3ccc(OCCCCCCCCCC)cc3)c(F)c2F)c1,[Br-],0.00073
CCCCCCCCCCCCCCCCn1cc[n+](CCCCCCOc2c(F)c(F)c(/N=N/c3ccc(OCCCCCCCCCC)cc3)c(F)c2F)c1,[Br-],0.00218
CCCCCCCCCCCCCCCCn1cc[n+](CCCCCCOc2c(F)c(F)c(/N=N/c3ccc(OCCCCCCCCCC)cc3)c(F)c2F)c1,[Br-],0.00072
CCCCCCCCCCCCCCCCn1cc[n+](CCCCCCOc2c(F)c(F)c(/N=N/c3ccc(OCCCCCCCCCC)cc3)c(F)c2F)c1,[Br-],0.00218
CCCCCCCCCCCCCCn1cc[n+](CCCCCCOc2c(F)c(F)c(/N=N/c3ccc(OCCCCCCCCCC)cc3)c(F)c2F)c1,[Br-],0.00177
CCCCCCCCCCCCCCn1cc[n+](CCCCCCOc2c(F)c(F)c(/N=N/c3ccc(OCCCCCCCCCC)cc3)c(F)c2F)c1,[Br-],0.00372
CCCCCCCCCCCCCCCCCCn1cc[n+](CCCCCCOc2c(F)c(F)c(/N=N/c3ccc(OCCCCCCCCCC)cc3)c(F)c2F)c1,[Br-],0.00061
CCCCCCCCCCCCCCCCn1cc[n+](CCCCCCOc2c(F)c(F)c(/N=N/c3ccc(OCCCCCCCCCC)cc3)c(F)c2F)c1,[Br-],0.00237
CCCCCCCCCCCCCCCCn1cc[n+](CCCCCCCOc2c(F)c(F)c(/N=N/c3ccc(OCCCCCCCCCC)cc3)c(F)c2F)c1,[Br-],0.00298
CCCCCCCCCCCCCCCCn1cc[n+](CCCCCCCOc2c(F)c(F)c(/N=N/c3ccc(OCCCCCCCCCC)cc3)c(F)c2F)c1,[Br-],0.02209
CCCCCCCCCCCCCCCCn1cc[n+](CCCCCCCCOc2c(F)c(F)c(/N=N/c3ccc(OCCCCCCCCCC)cc3)c(F)c2F)c1,[Br-],0.00118
CCCCCCCCCCCCCCCCn1cc[n+](CCCCCCCCOc2c(F)c(F)c(/N=N/c3ccc(OCCCCCCCCCC)cc3)c(F)c2F)c1,[Br-],0.01302
CCCCCCCCCCCCCCCCn1cc[n+](CCCCCCCCCOc2c(F)c(F)c(/N=N/c3ccc(OCCCCCCCCCC)cc3)c(F)c2F)c1,[Br-],0.00185
CCCCCCCCCCCCCCCCn1cc[n+](CCCCCCCCCOc2c(F)c(F)c(/N=N/c3ccc(OCCCCCCCCCC)cc3)c(F)c2F)c1,[Br-],0.01607
Cn1cc[n+](CCOCCO)c1,O=C([O-])c1ccccc1O,>0.1
Cn1cc[n+](CCOCCO)c1,O=C([O-])c1ccccc1O,>0.1
Cn1cc[n+](CCOCCO)c1,O=C([O-])c1ccccc1O,>0.1
Cn1cc[n+](CCOCCO)c1,O=C([O-])c1ccccc1O,>0.1
Cn1cc[n+](CCOCCO)c1,O=C([O-])c1ccccc1O,0.00926
Cn1cc[n+](CCOCCO)c1,O=C([O-])c1ccccc1O,>0.1
C[n+]1ccn(CCOC/C=C/c2ccccc2)c1,[Cl-],6
C[n+]1ccn(CCCCOC/C=C/c2ccccc2)c1,[Cl-],1.8
C[n+]1ccn(CCCCOC/C=C/c2ccccc2)c1,O=C([O-])/C=C/c1ccccc1,2.31
CC(=O)OCCCCn1cc[n+](C)c1,[Cl-],36.9
CCCCCCCC[n+]1ccn(C(=O)c2cc(OC)c(O)c(OC)c2)c1,[Br-],0.0173
Cc1[nH+]ccn1C,[Cl-],53.32
Cc1n(C)cc[n+]1CC(=O)Nc1nc2ccc(S(C)(=O)=O)cc2s1,O=C([O-])C(F)(F)F,0.174
Cc1n(C)cc[n+]1CC(=O)Nc1nc2ccc(S(C)(=O)=O)cc2s1,O=C([O-])C(F)(F)F,0.169
Cc1n(C)cc[n+]1CC(=O)Nc1nc2ccc(S(C)(=O)=O)cc2s1,O=C([O-])C(F)(F)F,0.167
Cc1n(C)cc[n+]1CC(=O)Nc1nc2ccc(S(C)(=O)=O)cc2s1,O=C([O-])C(F)(F)F,0.171
Cc1n(C)cc[n+]1CC(=O)Nc1nc2ccc(S(C)(=O)=O)cc2s1,[Br-],0.187
Cc1n(C)cc[n+]1CC(=O)Nc1nc2ccc(S(C)(=O)=O)cc2s1,[Br-],0.178
Cc1n(C)cc[n+]1CC(=O)Nc1nc2ccc(S(C)(=O)=O)cc2s1,[Br-],0.198
Cc1n(C)cc[n+]1CC(=O)Nc1nc2ccc(S(C)(=O)=O)cc2s1,[Br-],0.193
Cc1n(C)cc[n+]1CC(=O)Nc1nc2ccc(S(C)(=O)=O)cc2s1,F[P-](F)(F)(F)(F)F,0.239
Cc1n(C)cc[n+]1CC(=O)Nc1nc2ccc(S(C)(=O)=O)cc2s1,F[P-](F)(F)(F)(F)F,0.248
Cc1n(C)cc[n+]1CC(=O)Nc1nc2ccc(S(C)(=O)=O)cc2s1,F[P-](F)(F)(F)(F)F,0.241
Cc1n(C)cc[n+]1CC(=O)Nc1nc2ccc(S(C)(=O)=O)cc2s1,F[P-](F)(F)(F)(F)F,0.251
Cc1n(C)cc[n+]1CC(=O)Nc1nc2ccc(S(C)(=O)=O)cc2s1,F[B-](F)(F)F,0.186
Cc1n(C)cc[n+]1CC(=O)Nc1nc2ccc(S(C)(=O)=O)cc2s1,F[B-](F)(F)F,0.179
Cc1n(C)cc[n+]1CC(=O)Nc1nc2ccc(S(C)(=O)=O)cc2s1,F[B-](F)(F)F,0.178
Cc1n(C)cc[n+]1CC(=O)Nc1nc2ccc(S(C)(=O)=O)cc2s1,F[B-](F)(F)F,0.168
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3C)sc2c1,O=C([O-])C(F)(F)F,0.149
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3C)sc2c1,O=C([O-])C(F)(F)F,0.137
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3C)sc2c1,O=C([O-])C(F)(F)F,0.154
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3C)sc2c1,O=C([O-])C(F)(F)F,0.155
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3C)sc2c1,[Br-],0.21
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3C)sc2c1,[Br-],0.189
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3C)sc2c1,[Br-],0.23
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3C)sc2c1,[Br-],0.194
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3C)sc2c1,F[P-](F)(F)(F)(F)F,0.168
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3C)sc2c1,F[P-](F)(F)(F)(F)F,0.156
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3C)sc2c1,F[P-](F)(F)(F)(F)F,0.167
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3C)sc2c1,F[P-](F)(F)(F)(F)F,0.143
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3C)sc2c1,F[B-](F)(F)F,0.098
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3C)sc2c1,F[B-](F)(F)F,0.088
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3C)sc2c1,F[B-](F)(F)F,0.115
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3C)sc2c1,F[B-](F)(F)F,0.089
CCCCC[n+]1ccn(C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,<0.1
c1ccc(Cn2cc[n+](Cc3ccccc3)c2)cc1,O=C1[N-]S(=O)(=O)c2ccccc21,14.013
c1ccc(Cn2cc[n+](Cc3ccccc3)c2)cc1,N#C[N-]C#N,10.823
CCn1cc[n+](CC)c1,[Br-],>1
CCn1cc[n+](CC)c1,CCOS(=O)(=O)[O-],20.44
Cn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,4.23
Cn1cc[n+](C)c1,[Cl-],38.21
Cn1cc[n+](C)c1,COS(=O)(=O)[O-],81.24
Cn1cc[n+](C)c1,COS(=O)(=O)[O-],31.69
CCCCCCCCCC[n+]1ccn(C(=O)c2ccccc2)c1,[Br-],>0.032
CCCCCCCCCCCCCCCCCC[n+]1ccn(Cc2ccccc2)c1,[Br-],0.00692
CCCCCCCCCCCCCCCCCC[n+]1ccn(Cc2ccccc2)c1,[Br-],0.0119
CCCCCCCCCCCCCCCCCC[n+]1ccn(Cc2ccccc2)c1,[Br-],0.01341
CCCCCCCCCCCCCCCCCC[n+]1ccn(Cc2ccccc2)c1,[Br-],0.02435
CCCC[NH+]1C=CN=C1,[Cl-],11.9
CCCCn1cc[n+](-c2ccccc2CC)c1,[Br-],0.123
CCCCn1cc[n+](-c2ccccc2CC)c1,[I-],0.105
CCCCn1cc[n+](-c2ccc(C(=O)OCC)cc2)c1,[Br-],0.468
CCCCn1cc[n+](-c2ccc(OCC)cc2)c1,[Br-],0.085
CCCCn1cc[n+](-c2ccc(C)cc2)c1,[Br-],0.214
C=C[n+]1ccn(CCCC)c1,[Br-],1.987
C=C[n+]1ccn(CCCC)c1,[Cl-],0.991
CCCCCCCCCC[NH+]1C=CN=C1,[Cl-],0.06
C=C[n+]1ccn(CCCCCCCCCCCC)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0056
CCCCCC[n+]1ccn(CC)c1,[Br-],0.102
CCCCCC[n+]1ccn(CC)c1,[Br-],0.102
CCCCCC[n+]1ccn(CC)c1,F[B-](F)(F)F,0.182
CCCCCC[n+]1ccn(CC)c1,F[B-](F)(F)F,0.182
CCC[n+]1ccn(CC)c1,[Br-],>1.995
c1c[nH+]c[nH]1,O=C([O-])c1ccccc1O,>0.1
c1c[nH+]c[nH]1,O=C([O-])c1ccccc1O,>0.1
c1c[nH+]c[nH]1,O=C([O-])c1ccccc1O,>0.1
c1c[nH+]c[nH]1,O=C([O-])c1ccccc1O,>0.1
c1c[nH+]c[nH]1,O=C([O-])c1ccccc1O,0.03994
c1c[nH+]c[nH]1,O=C([O-])c1ccccc1O,0.02303
C[NH+]1C=CN=C1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,6.54
C[NH+]1C=CN=C1,[Br-],67.83
C[NH+]1C=CN=C1,[Cl-],67.75
C[NH+]1C=CN=C1,O=S(=O)([O-])O,26.42
C[NH+]1C=CN=C1,O=[N+]([O-])[O-],72.75
C[NH+]1C=CN=C1,O=S(=O)([O-])C(F)(F)F,47.43
CSC[n+]1ccn(C)c1,[Cl-],>0.5
CSC[n+]1ccn(C)c1,[Cl-],>0.5
CSC[n+]1ccn(C)c1,[Cl-],>0.5
CSC[n+]1ccn(C)c1,[Cl-],>0.5
CSC[n+]1ccn(C)c1,[Cl-],>0.5
CSC[n+]1ccn(C)c1,[Cl-],>0.5
CCCCCCCCOC[n+]1ccn(C)c1,Cc1ccc(C(C)C)c(OCC(=O)[O-])c1,0.0111
CCCCCCCCOC[n+]1ccn(C)c1,C=CCc1ccc(OCC(=O)[O-])c(OC)c1,0.0111
CCCCCCCCOC[n+]1ccn(C)c1,COc1cc(C=O)ccc1OCC(=O)[O-],0.0111
CCCCCCCCOC[n+]1ccn(C)c1,Cc1ccc(C(C)C)cc1OCC(=O)[O-],0.0101
CCCCCCCCOC[n+]1ccn(C)c1,O=S(=O)([O-])c1ccc(O)cc1,0.0122
CCCCCCCCOC[n+]1ccn(C)c1,O=S(=O)([O-])c1ccccc1,0.0122
CCCCCCCCOC[n+]1ccn(C)c1,[Cl-],0.0197
CCCCCCCCOC[n+]1ccn(C)c1,O=C[O-],0.0184
CCCCCCCCOC[n+]1ccn(C)c1,CC(C)(C)C(=O)[O-],0.0163
CCCCCCCCOC[n+]1ccn(C)c1,CCC(=O)[O-],0.0158
Cn1cc[n+](CC(=O)Nc2nc3ccc(S(C)(=O)=O)cc3s2)c1,O=C([O-])C(F)(F)F,0.219
Cn1cc[n+](CC(=O)Nc2nc3ccc(S(C)(=O)=O)cc3s2)c1,O=C([O-])C(F)(F)F,0.213
Cn1cc[n+](CC(=O)Nc2nc3ccc(S(C)(=O)=O)cc3s2)c1,O=C([O-])C(F)(F)F,0.218
Cn1cc[n+](CC(=O)Nc2nc3ccc(S(C)(=O)=O)cc3s2)c1,[Br-],0.246
Cn1cc[n+](CC(=O)Nc2nc3ccc(S(C)(=O)=O)cc3s2)c1,[Br-],0.229
Cn1cc[n+](CC(=O)Nc2nc3ccc(S(C)(=O)=O)cc3s2)c1,[Br-],0.237
Cn1cc[n+](CC(=O)Nc2nc3ccc(S(C)(=O)=O)cc3s2)c1,[Br-],0.241
Cn1cc[n+](CC(=O)Nc2nc3ccc(S(C)(=O)=O)cc3s2)c1,F[B-](F)(F)F,0.211
Cn1cc[n+](CC(=O)Nc2nc3ccc(S(C)(=O)=O)cc3s2)c1,F[P-](F)(F)(F)(F)F,0.26
Cn1cc[n+](CC(=O)Nc2nc3ccc(S(C)(=O)=O)cc3s2)c1,F[P-](F)(F)(F)(F)F,0.293
Cn1cc[n+](CC(=O)Nc2nc3ccc(S(C)(=O)=O)cc3s2)c1,F[P-](F)(F)(F)(F)F,0.287
Cn1cc[n+](CC(=O)Nc2nc3ccc(S(C)(=O)=O)cc3s2)c1,O=C([O-])C(F)(F)F,0.21
Cn1cc[n+](CC(=O)Nc2nc3ccc(S(C)(=O)=O)cc3s2)c1,F[B-](F)(F)F,0.199
Cn1cc[n+](CC(=O)Nc2nc3ccc(S(C)(=O)=O)cc3s2)c1,F[B-](F)(F)F,0.2
Cn1cc[n+](CC(=O)Nc2nc3ccc(S(C)(=O)=O)cc3s2)c1,F[B-](F)(F)F,0.205
Cn1cc[n+](CC(=O)Nc2nc3ccc(S(C)(=O)=O)cc3s2)c1,F[P-](F)(F)(F)(F)F,0.246
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3)sc2c1,O=C([O-])C(F)(F)F,0.19
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3)sc2c1,O=C([O-])C(F)(F)F,0.181
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3)sc2c1,O=C([O-])C(F)(F)F,0.187
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3)sc2c1,O=C([O-])C(F)(F)F,0.188
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3)sc2c1,[Br-],0.143
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3)sc2c1,[Br-],0.122
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3)sc2c1,[Br-],0.162
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3)sc2c1,[Br-],0.153
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3)sc2c1,F[P-](F)(F)(F)(F)F,0.183
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3)sc2c1,F[P-](F)(F)(F)(F)F,0.179
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3)sc2c1,F[P-](F)(F)(F)(F)F,0.188
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3)sc2c1,F[P-](F)(F)(F)(F)F,0.177
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3)sc2c1,F[B-](F)(F)F,0.132
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3)sc2c1,F[B-](F)(F)F,0.112
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3)sc2c1,F[B-](F)(F)F,0.139
Cc1ccc2nc(NC(=O)C[n+]3ccn(C)c3)sc2c1,F[B-](F)(F)F,0.125
CCCCCCCCOC(=O)C[n+]1ccn(C)c1,[Cl-],0.41158
CCCCCCCCOC(=O)C[n+]1ccn(C)c1,[Cl-],0.26364
CCCCCCCCOC(=O)C[n+]1ccn(C)c1,[Cl-],0.26364
Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,F[P-](F)(F)(F)(F)F,>10
Cn1cc[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,F[P-](F)(F)(F)(F)F,>10
CC(=O)CC[n+]1ccn(C)c1,[Br-],>3.020
CCCCCCCCCCCC(=O)OCCCC[n+]1ccn(C)c1,[Cl-],0.4
CCCCCCCCCCCCCCCC(=O)OCCCC[n+]1ccn(C)c1,[Cl-],0.16
CCCCCCCCCCCCCCCCCC(=O)OCCCC[n+]1ccn(C)c1,[Cl-],0.1
CCCCCCCCCCCCCC(=O)OCCCC[n+]1ccn(C)c1,[Cl-],0.34
CCCCCCCCCCCCC(=O)OCCCC[n+]1ccn(C)c1,[Cl-],0.39
CCCCCCCCCCC(=O)OCCCC[n+]1ccn(C)c1,[Cl-],0.54
Cc1ccc(C[n+]2ccn(C)c2)cc1,[Cl-],0.437
Cc1ccc(C[n+]2ccn(C)c2)cc1,F[P-](F)(F)(F)(F)F,0.457
Cc1ccc(C[n+]2ccn(C)c2)cc1,F[B-](F)(F)F,0.468
CCCCCO[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.26
C#CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.41
CCCCCCCCC[n+]1ccn(C)c1,[Cl-],0.025
CCCCCCCCC[n+]1ccn(C)c1,[Cl-],0.025
CCCCCCCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,0.07
CCCCCCCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,0.079
CCCCCCCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,0.071
CCCCCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,0.045
CCCCCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F,0.045
CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.029
CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,>0.1
CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,>0.1
CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,>0.1
CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,>0.1
CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,>0.1
CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,>0.1
CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,>0.1
CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.005758
CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.009785
CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,>0.1
CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.008002
CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.007697
