Cation,Anion,target
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc(Cl)cc3)c2)cc1)c1ccc(Cl)cc1,[Br-],0.082
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc(Cl)cc3)c2)cc1)c1ccc(Cl)cc1,[Br-],0.089
F[P-](F)(F)(F)(F)F,F[P-](F)(F)(F)(F)F,0.062
F[P-](F)(F)(F)(F)F,F[P-](F)(F)(F)(F)F,0.059
F[P-](F)(F)(F)(F)F,F[P-](F)(F)(F)(F)F,0.059
F[P-](F)(F)(F)(F)F,F[P-](F)(F)(F)(F)F,0.064
F[B-](F)(F)F,F[B-](F)(F)F,0.071
F[B-](F)(F)F,F[B-](F)(F)F,0.077
F[B-](F)(F)F,F[B-](F)(F)F,0.068
F[B-](F)(F)F,F[B-](F)(F)F,0.072
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc(Cl)cc3)cc2)cc1)c1ccc(Cl)cc1,O=C([O-])C(F)(F)F,>0.3
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc(Cl)cc3)cc2)cc1)c1ccc(Cl)cc1,O=C([O-])C(F)(F)F,>0.3
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc(Cl)cc3)cc2)cc1)c1ccc(Cl)cc1,O=C([O-])C(F)(F)F,>0.3
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc(Cl)cc3)cc2)cc1)c1ccc(Cl)cc1,O=C([O-])C(F)(F)F,>0.3
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc(Cl)cc3)cc2)cc1)c1ccc(Cl)cc1,[Br-],>0.3
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc(Cl)cc3)cc2)cc1)c1ccc(Cl)cc1,[Br-],>0.3
