Cation,Anion,target,Cation_Organic,Anion_Organic,both_Organic,only_one_Organic
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1,O=C([O-])C(F)(F)F,0.169,True,True,True,False
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1,O=C([O-])C(F)(F)F,0.165,True,True,True,False
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1,O=C([O-])C(F)(F)F,0.3,True,True,True,False
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1,O=C([O-])C(F)(F)F,0.3,True,True,True,False
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1,O=C([O-])C(F)(F)F,0.3,True,True,True,False
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1,O=C([O-])C(F)(F)F,0.3,True,True,True,False
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)c2)cc1)c1ccc([N+](=O)[O-])cc1,O=C([O-])C(F)(F)F,0.102,True,True,True,False
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)c2)cc1)c1ccc([N+](=O)[O-])cc1,O=C([O-])C(F)(F)F,0.11,True,True,True,False
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)c2)cc1)c1ccc([N+](=O)[O-])cc1,O=C([O-])C(F)(F)F,0.108,True,True,True,False
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)c2)cc1)c1ccc([N+](=O)[O-])cc1,O=C([O-])C(F)(F)F,0.105,True,True,True,False
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)cc2)cc1)c1ccc([N+](=O)[O-])cc1,O=C([O-])C(F)(F)F,0.3,True,True,True,False
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)cc2)cc1)c1ccc([N+](=O)[O-])cc1,O=C([O-])C(F)(F)F,0.3,True,True,True,False
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)cc2)cc1)c1ccc([N+](=O)[O-])cc1,O=C([O-])C(F)(F)F,0.3,True,True,True,False
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)cc2)cc1)c1ccc([N+](=O)[O-])cc1,O=C([O-])C(F)(F)F,0.3,True,True,True,False
CCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.02001,True,True,True,False
CCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.019,True,True,True,False
CCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.01805,True,True,True,False
CCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.3,True,True,True,False
CCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.01433,True,True,True,False
CCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.01205,True,True,True,False
CCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.0105,True,True,True,False
CCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.3,True,True,True,False
CCCCCCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.08775,True,True,True,False
CCCCCCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.0923,True,True,True,False
