Canonical SMILES,"CC50/IC50/EC50, mM",filename
Cc1ccc([P+](Cc2ccc(O)c(C[P+](c3ccc(C)cc3)(c3ccc(C)cc3)c3ccc(C)cc3)[nH+]2)(c2ccc(C)cc2)c2ccc(C)cc2)cc1.[Cl-].[Cl-].[Cl-],0.019,polycharged.csv
Cc1ccc([P+](Cc2ccc(O)c(C[P+](c3ccc(C)cc3)(c3ccc(C)cc3)c3ccc(C)cc3)[nH+]2)(c2ccc(C)cc2)c2ccc(C)cc2)cc1.[Cl-].[Cl-].[Cl-],0.0037,polycharged.csv
Oc1ccc(C[P+](c2ccc(F)cc2)(c2ccc(F)cc2)c2ccc(F)cc2)[nH+]c1C[P+](c1ccc(F)cc1)(c1ccc(F)cc1)c1ccc(F)cc1.[Cl-].[Cl-].[Cl-],0.3899,polycharged.csv
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc(Cl)cc3)c2)cc1)c1ccc(Cl)cc1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,0.086,polycharged.csv
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc(Cl)cc3)c2)cc1)c1ccc(Cl)cc1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,0.089,polycharged.csv
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc(Cl)cc3)c2)cc1)c1ccc(Cl)cc1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,0.091,polycharged.csv
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc(Cl)cc3)c2)cc1)c1ccc(Cl)cc1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,0.084,polycharged.csv
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc(Cl)cc3)c2)cc1)c1ccc(Cl)cc1.[Br-].[Br-],0.083,polycharged.csv
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc(Cl)cc3)c2)cc1)c1ccc(Cl)cc1.[Br-].[Br-],0.088,polycharged.csv
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc(Cl)cc3)c2)cc1)c1ccc(Cl)cc1.[Br-].[Br-],0.082,polycharged.csv
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc(Cl)cc3)c2)cc1)c1ccc(Cl)cc1.[Br-].[Br-],0.089,polycharged.csv
F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc(Cl)cc3)c2)cc1)c1ccc(Cl)cc1,0.062,polycharged.csv
F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc(Cl)cc3)c2)cc1)c1ccc(Cl)cc1,0.059,polycharged.csv
F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc(Cl)cc3)c2)cc1)c1ccc(Cl)cc1,0.059,polycharged.csv
F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc(Cl)cc3)c2)cc1)c1ccc(Cl)cc1,0.064,polycharged.csv
F[B-](F)(F)F.F[B-](F)(F)F.O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc(Cl)cc3)c2)cc1)c1ccc(Cl)cc1,0.071,polycharged.csv
F[B-](F)(F)F.F[B-](F)(F)F.O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc(Cl)cc3)c2)cc1)c1ccc(Cl)cc1,0.077,polycharged.csv
F[B-](F)(F)F.F[B-](F)(F)F.O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc(Cl)cc3)c2)cc1)c1ccc(Cl)cc1,0.068,polycharged.csv
F[B-](F)(F)F.F[B-](F)(F)F.O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc(Cl)cc3)c2)cc1)c1ccc(Cl)cc1,0.072,polycharged.csv
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc(Cl)cc3)cc2)cc1)c1ccc(Cl)cc1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,0.3,polycharged.csv
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc(Cl)cc3)cc2)cc1)c1ccc(Cl)cc1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,0.3,polycharged.csv
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc(Cl)cc3)cc2)cc1)c1ccc(Cl)cc1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,0.3,polycharged.csv
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc(Cl)cc3)cc2)cc1)c1ccc(Cl)cc1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,0.3,polycharged.csv
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc(Cl)cc3)cc2)cc1)c1ccc(Cl)cc1.[Br-].[Br-],0.3,polycharged.csv
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc(Cl)cc3)cc2)cc1)c1ccc(Cl)cc1.[Br-].[Br-],0.3,polycharged.csv
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc(Cl)cc3)cc2)cc1)c1ccc(Cl)cc1.[Br-].[Br-],0.3,polycharged.csv
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc(Cl)cc3)cc2)cc1)c1ccc(Cl)cc1.[Br-].[Br-],0.3,polycharged.csv
F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc(Cl)cc3)cc2)cc1)c1ccc(Cl)cc1,0.3,polycharged.csv
F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc(Cl)cc3)cc2)cc1)c1ccc(Cl)cc1,0.3,polycharged.csv
