GAE_0,GAE_1,GAE_2,GAE_3,GAE_4,GAE_5,GAE_6,GAE_7,GAE_8,GAE_9,GAE_10,GAE_11,GAE_12,GAE_13,GAE_14,GAE_15,GAE_16,GAE_17,GAE_18,GAE_19,GAE_20,GAE_21,GAE_22,GAE_23,GAE_24,GAE_25,GAE_26,GAE_27,GAE_28,GAE_29,GAE_30,GAE_31
0.23483981,-0.59658974,0.22610709,-0.35893327,0.22439653,0.90757114,0.1489179,0.08263608,-0.9044407,0.45093066,-0.73766327,-0.5020462,0.49073172,-0.16639183,0.4267163,-0.05615688,-0.5653152,-0.024204284,-0.6765405,0.22271173,-0.66091216,0.27971557,-0.46391466,-0.7067289,0.25149995,0.65993255,0.08630989,-0.43245432,-0.8627363,-0.62535495,0.34126455,0.40886217
0.2348398,-0.5965897,0.2261071,-0.35893324,0.22439654,0.90757114,0.14891787,0.08263609,-0.9044407,0.45093068,-0.73766327,-0.5020462,0.49073172,-0.16639182,0.42671627,-0.056156877,-0.56531525,-0.024204275,-0.6765405,0.22271174,-0.66091216,0.27971557,-0.46391466,-0.7067289,0.25149992,0.6599325,0.08630987,-0.43245435,-0.8627362,-0.62535495,0.34126455,0.40886217
0.23483981,-0.59658974,0.22610709,-0.35893327,0.22439651,0.90757114,0.14891791,0.08263607,-0.9044407,0.45093066,-0.73766327,-0.5020462,0.49073172,-0.16639183,0.42671633,-0.05615688,-0.5653152,-0.024204291,-0.6765405,0.22271171,-0.66091216,0.27971557,-0.46391463,-0.7067289,0.25149995,0.65993255,0.08630989,-0.43245432,-0.8627363,-0.62535495,0.34126455,0.40886214
0.23483981,-0.59658974,0.22610709,-0.3589333,0.22439651,0.9075712,0.14891793,0.08263606,-0.90444076,0.45093066,-0.73766327,-0.5020463,0.49073175,-0.16639185,0.42671633,-0.056156885,-0.5653152,-0.0242043,-0.67654055,0.2227117,-0.6609122,0.27971557,-0.46391463,-0.70672894,0.25149998,0.65993255,0.0863099,-0.43245432,-0.8627363,-0.625355,0.34126458,0.40886214
0.23483981,-0.59658974,0.22610709,-0.3589333,0.22439651,0.9075712,0.14891793,0.08263606,-0.90444076,0.45093066,-0.73766327,-0.5020463,0.49073175,-0.16639185,0.42671633,-0.056156885,-0.5653152,-0.0242043,-0.67654055,0.2227117,-0.6609122,0.27971557,-0.46391463,-0.70672894,0.25149998,0.65993255,0.0863099,-0.43245432,-0.8627363,-0.625355,0.34126458,0.40886214
0.23483981,-0.59658974,0.22610709,-0.3589333,0.22439651,0.9075712,0.14891793,0.08263606,-0.90444076,0.45093066,-0.73766327,-0.5020463,0.49073175,-0.16639185,0.42671633,-0.056156885,-0.5653152,-0.0242043,-0.67654055,0.2227117,-0.6609122,0.27971557,-0.46391463,-0.70672894,0.25149998,0.65993255,0.0863099,-0.43245432,-0.8627363,-0.625355,0.34126458,0.40886214
0.23483981,-0.59658974,0.22610709,-0.3589333,0.22439651,0.9075712,0.14891793,0.08263606,-0.90444076,0.45093066,-0.73766327,-0.5020463,0.49073175,-0.16639185,0.42671633,-0.056156885,-0.5653152,-0.0242043,-0.67654055,0.2227117,-0.6609122,0.27971557,-0.46391463,-0.70672894,0.25149998,0.65993255,0.0863099,-0.43245432,-0.8627363,-0.625355,0.34126458,0.40886214
0.23483981,-0.59658974,0.22610709,-0.3589333,0.22439651,0.9075712,0.14891793,0.08263606,-0.90444076,0.45093066,-0.73766327,-0.5020463,0.49073175,-0.16639185,0.42671633,-0.056156885,-0.5653152,-0.0242043,-0.67654055,0.2227117,-0.6609122,0.27971557,-0.46391463,-0.70672894,0.25149998,0.65993255,0.0863099,-0.43245432,-0.8627363,-0.625355,0.34126458,0.40886214
0.23483981,-0.59658974,0.22610709,-0.3589333,0.22439651,0.9075712,0.14891793,0.08263606,-0.90444076,0.45093066,-0.73766327,-0.5020463,0.49073175,-0.16639185,0.42671633,-0.056156885,-0.5653152,-0.0242043,-0.67654055,0.2227117,-0.6609122,0.27971557,-0.46391463,-0.70672894,0.25149998,0.65993255,0.0863099,-0.43245432,-0.8627363,-0.625355,0.34126458,0.40886214
0.23483981,-0.59658974,0.22610709,-0.3589333,0.22439651,0.9075712,0.14891793,0.08263606,-0.90444076,0.45093066,-0.73766327,-0.5020463,0.49073175,-0.16639185,0.42671633,-0.056156885,-0.5653152,-0.0242043,-0.67654055,0.2227117,-0.6609122,0.27971557,-0.46391463,-0.70672894,0.25149998,0.65993255,0.0863099,-0.43245432,-0.8627363,-0.625355,0.34126458,0.40886214
0.23483981,-0.59658974,0.22610709,-0.3589333,0.22439651,0.9075712,0.14891793,0.08263606,-0.90444076,0.45093066,-0.73766327,-0.5020463,0.49073175,-0.16639185,0.42671633,-0.056156885,-0.5653152,-0.0242043,-0.67654055,0.2227117,-0.6609122,0.27971557,-0.46391463,-0.70672894,0.25149998,0.65993255,0.0863099,-0.43245432,-0.8627363,-0.625355,0.34126458,0.40886214
0.23483981,-0.59658974,0.22610709,-0.3589333,0.22439651,0.9075712,0.14891793,0.08263606,-0.90444076,0.45093066,-0.73766327,-0.5020463,0.49073175,-0.16639185,0.42671633,-0.056156885,-0.5653152,-0.0242043,-0.67654055,0.2227117,-0.6609122,0.27971557,-0.46391463,-0.70672894,0.25149998,0.65993255,0.0863099,-0.43245432,-0.8627363,-0.625355,0.34126458,0.40886214
0.23483981,-0.59658974,0.22610709,-0.3589333,0.22439651,0.9075712,0.14891793,0.08263606,-0.90444076,0.45093066,-0.73766327,-0.5020463,0.49073175,-0.16639185,0.42671633,-0.056156885,-0.5653152,-0.0242043,-0.67654055,0.2227117,-0.6609122,0.27971557,-0.46391463,-0.70672894,0.25149998,0.65993255,0.0863099,-0.43245432,-0.8627363,-0.625355,0.34126458,0.40886214
0.2348414,-0.5965904,0.2261076,-0.3589358,0.22439471,0.907572,0.14891367,0.08263579,-0.90444094,0.45093006,-0.7376639,-0.5020461,0.49073175,-0.16639382,0.42671642,-0.056156352,-0.56531405,-0.024202278,-0.67654514,0.2227154,-0.66091067,0.27971664,-0.4639127,-0.70673144,0.25150102,0.65993327,0.08630972,-0.43245885,-0.86273867,-0.6253572,0.34126434,0.4088624
0.2348414,-0.5965904,0.2261076,-0.3589358,0.22439471,0.907572,0.14891367,0.08263579,-0.90444094,0.45093006,-0.7376639,-0.5020461,0.49073175,-0.16639382,0.42671642,-0.056156352,-0.56531405,-0.024202278,-0.67654514,0.2227154,-0.66091067,0.27971664,-0.4639127,-0.70673144,0.25150102,0.65993327,0.08630972,-0.43245885,-0.86273867,-0.6253572,0.34126434,0.4088624
0.2348414,-0.5965904,0.2261076,-0.3589358,0.22439471,0.907572,0.14891367,0.08263579,-0.90444094,0.45093006,-0.7376639,-0.5020461,0.49073175,-0.16639382,0.42671642,-0.056156352,-0.56531405,-0.024202278,-0.67654514,0.2227154,-0.66091067,0.27971664,-0.4639127,-0.70673144,0.25150102,0.65993327,0.08630972,-0.43245885,-0.86273867,-0.6253572,0.34126434,0.4088624
0.2348414,-0.5965904,0.2261076,-0.3589358,0.22439471,0.907572,0.14891367,0.08263579,-0.90444094,0.45093006,-0.7376639,-0.5020461,0.49073175,-0.16639382,0.42671642,-0.056156352,-0.56531405,-0.024202278,-0.67654514,0.2227154,-0.66091067,0.27971664,-0.4639127,-0.70673144,0.25150102,0.65993327,0.08630972,-0.43245885,-0.86273867,-0.6253572,0.34126434,0.4088624
0.2348414,-0.5965904,0.2261076,-0.3589358,0.22439471,0.907572,0.14891367,0.08263579,-0.90444094,0.45093006,-0.7376639,-0.5020461,0.49073175,-0.16639382,0.42671642,-0.056156352,-0.56531405,-0.024202278,-0.67654514,0.2227154,-0.66091067,0.27971664,-0.4639127,-0.70673144,0.25150102,0.65993327,0.08630972,-0.43245885,-0.86273867,-0.6253572,0.34126434,0.4088624
0.2348414,-0.5965904,0.2261076,-0.3589358,0.22439471,0.907572,0.14891367,0.08263579,-0.90444094,0.45093006,-0.7376639,-0.5020461,0.49073175,-0.16639382,0.42671642,-0.056156352,-0.56531405,-0.024202278,-0.67654514,0.2227154,-0.66091067,0.27971664,-0.4639127,-0.70673144,0.25150102,0.65993327,0.08630972,-0.43245885,-0.86273867,-0.6253572,0.34126434,0.4088624
0.2348414,-0.5965904,0.2261076,-0.3589358,0.22439471,0.907572,0.14891367,0.08263579,-0.90444094,0.45093006,-0.7376639,-0.5020461,0.49073175,-0.16639382,0.42671642,-0.056156352,-0.56531405,-0.024202278,-0.67654514,0.2227154,-0.66091067,0.27971664,-0.4639127,-0.70673144,0.25150102,0.65993327,0.08630972,-0.43245885,-0.86273867,-0.6253572,0.34126434,0.4088624
0.2348414,-0.5965904,0.2261076,-0.3589358,0.22439471,0.907572,0.14891367,0.08263579,-0.90444094,0.45093006,-0.7376639,-0.5020461,0.49073175,-0.16639382,0.42671642,-0.056156352,-0.56531405,-0.024202278,-0.67654514,0.2227154,-0.66091067,0.27971664,-0.4639127,-0.70673144,0.25150102,0.65993327,0.08630972,-0.43245885,-0.86273867,-0.6253572,0.34126434,0.4088624
0.20118695,-0.5048582,0.24495511,-0.29607886,0.29062083,0.8294161,0.08495578,0.13233076,-0.806797,0.4986339,-0.7570029,-0.46005386,0.43833438,-0.10640615,0.33898568,-0.04443231,-0.5964694,0.008461692,-0.62573254,0.2826827,-0.6066603,0.29582402,-0.52647394,-0.62109786,0.1741919,0.6076311,0.041428454,-0.45647594,-0.7935242,-0.5270927,0.2693179,0.4362147
