UMAP_chemberta_c_14,UMAP_chemberta_a_2,UMAP_chemberta_a_19,UMAP_ecfp_c_10,UMAP_ecfp_a_4,UMAP_ecfp_a_8,UMAP_ecfp_a_9,UMAP_maccs_c_0,UMAP_maccs_c_5,UMAP_maccs_c_7,UMAP_maccs_a_1,UMAP_molecular_c_4,UMAP_molecular_c_5,UMAP_molecular_c_9,UMAP_molecular_a_7,UMAP_graph_c_1,UMAP_graph_c_4,UMAP_graph_a_5,UMAP_graph_a_7,UMAP_graph_a_8,target
0.90812963,2.0354583,0.021854097,0.4993552,1.3846371,-0.1055312,-0.017011566,-0.20929572,-0.11781198,0.1751015,0.42038825,-0.31248787,0.50006574,-0.41107836,-0.037946142,-0.015024871,-0.409333,0.3985993,0.071190774,0.27763647,0.0052
1.2464411,-0.020652635,-0.8709859,-1.844116,0.029194625,-0.45589212,0.667941,-1.683245,-0.30583787,0.3086626,0.59376204,-0.2628642,-0.5094677,-0.5284717,-0.1563909,-1.0051616,0.39163637,-0.7122427,0.32411915,-1.5163357,0.0619
-0.3519145,2.6577091,-0.75034666,3.2450976,-0.4279086,-0.85312754,0.2671105,1.2549224,0.99482614,0.2354054,0.313425,2.213038,-0.29997915,1.4609497,-0.107189566,-0.61779094,-1.1105295,0.11839188,0.1350844,0.3369462,0.021
-2.1189082,-0.13015342,-0.13996269,0.10221631,-0.05776045,0.96549135,5.755968,2.6998415,-0.12597519,0.28574836,2.4832683,-0.2279329,-0.0070650238,0.011906798,-0.035245087,-1.2667824,-1.8055984,2.4789298,-1.7681389,1.5289813,0.183
0.32375106,-0.098119274,0.26129824,-1.12341,-1.9164389,0.09629621,-0.21295938,0.5675161,-2.9645998,-0.46870986,-0.45814645,-0.26451078,-0.019209083,-0.1814626,-0.21308036,1.1558444,0.016181733,-2.2364733,-0.92583126,1.7173047,86.62
1.1263816,0.2851593,0.50844055,-2.1757674,-1.816456,-0.46754476,0.025838707,0.09619158,-0.3285833,-1.7841551,0.31220424,-1.1622523,0.59555453,0.43575338,-0.13595812,-0.87755907,1.5739416,0.108662836,0.10349624,0.3365888,2.55
-0.49887484,0.1825934,-0.04529776,0.44531026,0.61219597,-0.19147573,0.14013863,-1.062453,0.8170277,-0.35195,-2.0958169,1.0190467,0.71881664,1.0310233,-0.1677619,0.35620177,1.2564187,-1.2910789,-1.4876254,-0.053890493,0.00444
0.23074418,-1.0362349,-0.1666122,-0.07924415,-0.10644942,1.0217474,-1.0668858,-0.9433743,0.5668682,0.8958734,0.45204213,0.7933465,-0.26237154,-1.0783482,-0.23147547,-0.4645677,0.4486038,0.33700457,-0.06122067,0.1989616,0.5
1.1516792,-0.056325577,0.65500987,-2.233673,-1.7991065,-0.53699595,0.056809805,0.34258458,-1.6293588,2.631503,-1.6086682,0.8312727,-2.0597162,0.47719693,-0.102531284,1.4096313,-1.4432628,-2.2134967,-0.9110912,1.7518649,2.38
-0.12491167,0.23441821,1.2578894,0.07783543,0.07538708,1.1625074,-1.0699689,0.35294467,-1.6196128,2.6216204,-2.1184795,0.8376029,-2.0643163,0.47838208,-0.114582986,1.4132271,-1.4284639,-1.3490676,-1.5210383,-0.003629181,1.0
-0.5927202,-1.7154742,-0.65879935,0.6269167,0.6090363,0.56188315,-1.292562,-0.83664805,0.24300174,0.60996747,0.4256606,-0.17244232,0.31184298,-0.24400079,-0.023115382,-0.41569114,0.7812803,0.23971434,0.11231766,0.30006057,0.01907
0.8541553,-1.1949207,-0.37596893,-0.3434039,0.16375539,0.9864181,-1.2774545,-1.3664057,-0.12603426,1.446092,0.43684188,1.0190582,-1.2516798,0.04750259,-0.12436125,-0.47313958,-0.43343794,0.29218805,0.0023011859,0.26420307,0.048
-1.3055792,0.28188804,0.15653022,-0.8199721,0.10056444,-0.3444639,0.18359782,0.23263529,0.029951612,-0.073086515,0.44118896,0.37129736,0.1888244,2.499161,-0.038455404,2.5159163,0.008864649,1.715777,2.1474762,0.39488572,0.00339
0.2995119,0.09698223,-0.9949375,0.18083408,1.0124758,-1.1085618,0.9781679,1.1706789,0.9062121,0.15004419,0.61447567,-0.1275582,0.88562644,-0.015136851,-0.03997674,-1.2917067,1.8066139,-0.75039,0.24910243,-1.6090798,0.006628
0.6360409,0.03408971,-0.03873376,0.5346148,-0.029416533,-0.28503233,0.2331694,1.2275456,0.9457669,0.1881381,0.4171809,-0.12221674,0.90173334,-0.026347846,-0.16208018,-1.3048686,1.807031,1.812918,2.127236,0.38068476,0.1
1.1863132,-0.259859,-1.6917043,-1.4411379,1.5941081,-0.5572345,-0.0170244,-0.29505566,-0.047829323,0.40510568,0.59193933,1.3160772,-1.1584375,0.60534275,-0.012604654,-1.0107924,0.39221925,-0.7441958,0.25850108,-1.537857,0.0334
-0.50130326,-0.5658761,-0.06601911,0.6623567,0.5385804,-1.1780919,0.7953353,0.5295443,-0.8678805,-0.05562561,0.42757517,-0.68105614,-0.5639065,-1.1829556,-0.11735181,-0.03395792,0.14395772,0.2980226,-0.013203542,0.21883148,0.00017
-0.43573946,-2.4915745,-0.042819858,0.2771871,0.17075692,-1.4249455,0.30055,-0.6707265,-0.9258846,-1.5580037,0.45827937,-0.18405071,-0.5622368,0.15584134,-0.023264231,-0.5779209,1.1542287,0.3688792,0.06726046,0.29604825,0.1
0.13293779,-0.44430918,-0.32720476,-0.2917291,-0.8135339,1.2738007,-0.45436805,-0.789713,0.0082907695,0.7850051,-0.64442384,0.51167506,0.95359826,-0.7417168,-0.16684663,1.1495111,0.013390721,-1.7285477,1.8408619,1.0579827,1.68
